序号,日期,航煤90%回收温度,FI10201,TI10503,TE10310,TI10403,TI10406A,TI10408A,TI10409A,TI10411A,TI10412A,TI10413A,TI10414A,TI10425,PDI10404,TI10405,TI10417A,TI10419A,TI10421A,PDI10405,PI10602,FI10601,FI10706,FI10801,FI11006,FI20102,FI20105,FI20104,PI20301,FI20302,FI20301,TE20315,FI20501,TE20304,FI20402,FI20304,TE20302,FI20605,TE20305,TE20303,TE20402,PI20701,FI20701,TI20801,FI20901
1479,2019/8/28 20:00,220,170.3300018,191.0431213,220.3000031,350.2200012,215.5500031,216.5100098,216.4455109,215.7299957,216.2144928,217.1399994,400,213.6599884,38.18562698,211.9882507,213.0299988,211.3710022,211.7700043,27.43562508,2.477400064,45.48837662,0.02805,0,0,0.013200001,2.52E-44,10.18124962,0.109874636,0,0,214.3999939,0,55.5,0,0,73.25765228,0.094999999,92.14234161,88.30000305,65.35758209,0.713249981,0.144834235,28.28864861,0.210900009
1480,2019/8/29 8:00,220,170.3300018,194.0056305,220.8000031,350.2200012,216.6300049,217.7429504,217.7535248,217.5329437,218.2364655,219.5564575,400,216.3832397,38.11936188,214.7632446,216.396759,215.1000061,215.7899933,27.375,2.677599907,48.33286285,0.02805,0,27.88307571,0.0176,2.52E-44,10.23024654,0.096122317,0,0,211.7000122,0,45,0,0,60.39999771,0.104999997,84.40000153,79.37760925,54.40000153,0.716874957,0,26.03388023,0.188700005
1481,2019/8/29 20:00,220,170.3300018,193.2999878,229.7468262,350.2200012,223.2000122,223.904068,222.7200012,220.858139,220.7240753,220.4981384,400,215.8218536,38.40000153,214.1277771,214.0640717,211.9781494,212.16185,27.06327248,2.671187639,44.86256409,0.025500001,0,0,0.0198,2.52E-44,10.33650017,0.103856005,0,0,231.4468231,0,52.19999695,0,0,56.20000076,0.109999999,99.54675293,86.1467514,46.74682999,0.720558405,0.066129997,27.35727501,0.214599997
1482,2019/8/30 8:00,220,170.3300018,201.2249908,233.9999847,350.2200012,228.9156189,229.7843781,229.6187744,228.8243866,229.230011,230.25,400,226.3200073,38.89999771,224.7768555,225.8099976,224.2043915,224.5668335,27.76198769,2.670191765,44.78709412,0.029272743,0,0,0.022000002,2.66E-44,9.371591568,0.089658551,0,0,228.5,0,75.29999542,0,0,49.95189667,0.115000002,118.0999985,112,43.09999847,0.723375022,0,28.94556808,0.203500003
1483,2019/8/30 20:00,221,170.3300018,198.125,227,350.2200012,223.6200104,224.886322,222.1863251,222.1736755,221.7900085,222.5573425,400,220.6200104,36.76513672,218.6399994,220.5126495,219.5936737,220.5063324,27.55000114,2.666278839,42.93932724,0.025500001,0,0,0.011000001,2.66E-44,10.40713406,0.10026706,0,0,218.7999878,0,74.59999847,0,0,49.59999847,0.170000002,114.3000031,111.3607025,39.23937225,0.720375061,0.287575901,30.24517632,0.240500003
1484,2019/8/31 8:00,220,170.3300018,192.4499969,226,350.2200012,221.3099976,222.2572479,219.5227356,219.1200104,218.6208954,219.576355,400,216.3000031,36.5696907,214.4700012,215.9572601,214.4700012,214.9027405,26.96969223,2.671200037,49.48782349,0.02805,0,0,0.030329317,2.66E-44,10.38648129,0.082197174,0,0,220.5999908,0,48.70000076,0,0,44.49999619,0.123930268,84.19999695,79.59999847,36,0.73690176,0,27.47962761,0.224116787
1485,2019/8/31 20:00,221,170.3300018,197.125,242.3184357,350.2200012,235.4889984,235.6610107,234.8999939,232.3389893,231.5399933,231.0110168,400,225.9844971,38.27500153,224.4900055,224.0700073,220.9689789,220.4479828,26.67500114,2.592163324,32.67489243,0.025500001,0,0,0.024607163,2.66E-44,10.45800018,0.115800001,0,0,230.5,0,40.80000305,0,0,42.39999771,0.314999998,71.5,68.5,34.20000076,0.741000056,0.080000006,28.78314972,0.203500003
1486,2019/9/1 20:00,243,169.5495453,362.7749939,414.3999939,355.5899963,361.6078796,384.3300171,373.3621216,392.1900024,391.1099854,401.1389465,400,399,215.7726746,387.75,392.1089478,389.177887,390.0510559,153.4750061,2.701336622,114.8499756,19.94936371,72.14898682,49170.30078,16.22140312,131.1037445,12.74384689,0.031798586,83.18091583,2.522027731,316.429718,95.73854828,182.3000031,0,18.01889992,194.4703369,35.0794487,232.5593262,218.9703369,212.8999939,0.949324131,0.638409376,51.00017166,31.40669632
1487,2019/9/1 22:00,200,174.3890533,361.4096069,418,353.7230225,359.03302,382.8899841,372.5054626,393.6599731,391.6269836,403.3200073,400,402.8169861,209.4430695,387.4269714,391.29245,389.2569885,389.499054,156.8000031,2.705448866,116.6046906,20.01913452,71.72049713,50282.22656,17.73030472,126.3868408,22.25495148,0.040644921,78.88335419,2.526216745,297.561554,98.72782898,182.0999908,0,19.76080894,190.8385162,31.85463142,219.8770294,206.3000031,204.3000031,0.967865765,14.39665413,54.32848358,41.26873398
1488,2019/9/2 8:00,209,236.7950745,368.6208496,456.3000183,349.5366821,353.6583557,378.2166748,368.8683167,392.2566833,386.6400146,399.4083557,400,404.7600098,216.8279877,390.6649475,393.9533081,392.6449585,393.1383362,190.5307159,2.706577063,169.8486328,19.97570801,87.37846375,65741.72656,26.14396477,197.9804993,25.46948433,0.04098,99.29098511,2.538393974,313.5,112.1046982,176.7613068,1.801926732,28.64774895,203.4226074,48.98551178,228.5838928,212.8000031,212.7612305,0.999000013,24.45972633,56.1588707,55.69337463
